body_type,bought_condition,car_id,city,color,condition,engine_size,fuel_type,make,mileage,model,price,registered_city,selling_condition,transmission,year_of_manufacture
,Imported,jEY4wdZCrZRlz3VMMSP5ORrkVRUdhxP,Ajah,Red,Nigerian Used,2400,Petrol,Hyundai,101070,Sonata,15187500,Lagos,Registered,Automatic,2017
,Registered,jEY4wdZIM55Yjiv7XraO7Z3lk15Z9Of,Ikeja,Silver,Nigerian Used,1800,Petrol,Toyota,332348,Corolla,5062500,,Registered,Automatic,2004
SUV,Registered,jEY4wdZFuW8Ip9xU2rQcvTUHjNAuNtn,Yaba,Black,Nigerian Used,3500,Petrol,Acura,254710,MDX,3712500,LAGOS,Registered,Automatic,2003
Crossover,Registered,jEY4wdZBMUd8h0pfZdoO9iMHz59dpP4,Ojodu,Silver,Nigerian Used,3500,Petrol,Toyota,304934,Venza,13500000,LAGOS,Registered,Automatic,2011
,Registered,jEY4wdZRUW39MgXqSzdqdxZPyNbvcLJ,Asokoro,Gray,Nigerian Used,3300,Petrol,Toyota,155439,Sienna,7312500,,Registered,Automatic,2006
SUV,Registered,jEY4wdZE0koIrtsULsDxjGraCTyj0v0,Port-Harcourt,Black,Nigerian Used,3500,Petrol,Ford,190932,Edge,5062500,Rivers,Registered,Automatic,2007
SUV,Registered,jEY4wdZQaMFY9z26PwQyJY67CYwTZon,Enugu,Green,Nigerian Used,2400,Petrol,Toyota,235366,Highlander,6975000,ENUGU,Registered,Automatic,2005
,Imported,jEY4wdZuAfLWVg8NbuHUanLEETRCYE8,Yaba,Gray,Nigerian Used,3500,Petrol,Toyota,94178,Avalon,19125000,LAGOS,Registered,Automatic,2015
Sedan,Registered,jEY4wdZjTNpObKAY1COYZzfgxp3PXyS,Lugbe District,Gray,Nigerian Used,2400,Petrol,Toyota,199826,Camry,4500000,Abuja,Registered,Automatic,2005
,Imported,jEY4wdZQq48vxK0s4YwJNFvhYjq5jh1,Gwagwalada,White,Nigerian Used,1800,Petrol,Toyota,418655,Corolla,7312500,ABUJA,Registered,Automatic,2010
Sedan,Imported,jEY4wdZU91IuYxA5KHWc61TvmF4Hwpv,Yaba,Black,Nigerian Used,2400,Petrol,Toyota,336344,Camry,6525000,LAGOS,Registered,Automatic,2009
SUV,Brand new,jEY4wdZnNwGMj17ZWJQAZPKM22fChSZ,Ogba,Black,Nigerian Used,4000,Petrol,Toyota,42578,Land Cruiser Prado,100125000,LAGOS,Registered,Automatic,2020
SUV,Registered,jEY4wdZt6h8aAhOLzyEpBtYdmuaQNnX,Ibadan,Green,Nigerian Used,2500,Petrol,Honda,420411,CR-V,1800000,,Registered,Automatic,1998
SUV,Imported,jEY4wdZXb32WY27Tgw9vB9IYpTxAd75,Lekki,Gray,Nigerian Used,3500,Petrol,Mercedes-Benz,139224,GLE-Class,42750000,LAGOS,Registered,Automatic,2016
,Registered,jEY4wdZFEO49sNgZAErE5St5dfVDhAs,Ikeja,Black,Nigerian Used,,Petrol,Toyota,129402,Yaris,5625000,Lagos,Registered,Automatic,2008
Minivan,Registered,jEY4wdZbWw4st858FlN20TH7Gs8Bg0Q,Uyo,Green,Nigerian Used,3500,Petrol,Toyota,138793,Sienna,6750000,AKWA IBOM,Registered,Automatic,2008
SUV,Imported,jEY4wdZrVIcTr4Cxoh5TwNwFZlwZHV2,Jabi,White,Nigerian Used,3700,Petrol,Jeep,200402,Liberty,6187500,ABUJA,Registered,Automatic,2008
,Imported,jEY4wdZE5b8cD3HPpa1ruI3AS30RIle,Ikotun/Igando,Gold,Nigerian Used,2200,Petrol,Toyota,331142,Camry,2812500,Lagos,Registered,Manual,2001
,Imported,jEY4wdZUlJfI3fABWk4zsDWwuJKteOX,Abule Egba,Gray,Nigerian Used,3500,Petrol,Toyota,116225,Camry,10125000,LAGOS,Registered,Automatic,2010
,Imported,jEY4wdZoh1Sy3HSkGWuBhM6H6bcm80H,Amuwo-Odofin,White,Nigerian Used,3500,Petrol,Toyota,528988,Sienna,14625000,LAGOS,Registered,Automatic,2013
SUV,Imported,jEY4wdZCjAP1QlI4QiqaFvgWuhRRVNp,Ilupeju,White,Nigerian Used,3500,Petrol,Lexus,103168,RX,39375000,LAGOS,Registered,Automatic,2017
,Imported,jEY4wdZPNayBcINXhI7NSLSIlVfnCsq,Lekki,Black,Nigerian Used,2500,Petrol,Toyota,111866,Camry,12375000,,Registered,Automatic,2013
,Imported,jEY4wdZSyy0pVVncgGdHxjuuNURykGi,Ibadan,Gold,Nigerian Used,1200,Petrol,Daihatsu,190175,Sirion,1125000,Gombe,Registered,Manual,1999
,Registered,jEY4we00sRgJX0LBWHQISVujqeLfmpH,Port-Harcourt,Black,Nigerian Used,3500,Petrol,Infiniti,389980,G35,3937500,,Registered,Automatic,2007
,Imported,jEY4wdZqQEsSDVweYuBDKeMkfiXEulu,Alimosho,Black,Nigerian Used,1800,Petrol,Toyota,102316,Corolla,6412500,Lagos,Registered,Automatic,2008
,Registered,jlCs49Pm9cSbr2Bgu7nDTlA4xDaSrj,Karu,Blue,Nigerian Used,1800,Petrol,Honda,2185422,Civic,4275000,,Registered,Automatic,2010
,Imported,jEY4wdZBAIzeQtO5w3rhnJRPYER61xi,Uyo,Black,Nigerian Used,2000,Petrol,Mercedes-Benz,248093,C200,2700000,RIVERS,Registered,Automatic,2003
Pick-up Double Cabin,Imported,jEY4wdZiTpNJnTHPTII6FAG22fATnW0,Ibadan,Silver,Nigerian Used,4000,Petrol,Toyota,87744,Tacoma,12937500,ABUJA,Registered,Automatic,2012
,Registered,jEY4wdZfbPNwRBcSHrNUT07DwZ8pAuL,Ikorodu,Black,Nigerian Used,2500,Hybrid,Toyota,246312,Camry,4635000,,Registered,Automatic,2007
SUV,Registered,jEY4wdZqsTTHAHF5iiG5gsi8lXSL4Ok,Ikoyi,Silver,Nigerian Used,2500,Petrol,Nissan,109776,X-Trail,5625000,,Registered,Automatic,2008
,Imported,jEY4wdZy28bFIEG448flNmYu9Zrol9W,Central Business District,Black,Nigerian Used,2500,Petrol,Toyota,181708,Camry,10687500,,Registered,Automatic,2012
SUV,Brand new,jEY4wdZv1lD5P2tVM4fYYTPX28Yf7a4,Jabi,Gray,Nigerian Used,1600,Petrol,Peugeot,20156,3008,33750000,ABUJA,Registered,Automatic,2020
,Registered,jEY4wdZiLs1vGd6jrrVzhZ2nVYiGNxv,Ikorodu,Gold,Nigerian Used,1600,Petrol,Acura,253417,CL,1687500,,Registered,Automatic,2001
,Registered,jEY4wdZJcw9OJj51bTxyzRb4JvSEuMC,Akure,Red,Nigerian Used,1800,Petrol,Toyota,389777,Corolla,5062500,Lagos,Registered,Automatic,2007
,Registered,jEY4wdZ9tk9cHDMSTk3BuJ2vZaltSSb,Port-Harcourt,Gray,Nigerian Used,3500,Petrol,Lexus,263841,ES,7200000,,Registered,Automatic,2007
,Registered,jEY4wdZIRwxFrsBofXYovX0V4ujJaCc,Lugbe District,Black,Nigerian Used,1600,Petrol,Volkswagen,169867,Jetta,2475000,Abuja,Registered,Automatic,2009
,Imported,jEY4wdZUnWB0iwAGMfRG3uKTJongQmM,Ajah,Gold,Nigerian Used,1800,Petrol,Hyundai,136714,Elantra,7875000,Lagos,Registered,Automatic,2015
,Registered,jEY4wdZSqa5eg6ZgTitJHCIrFEMzWs5,Isolo,Gray,Nigerian Used,1800,Petrol,Toyota,299999,Corolla,4500000,,Registered,Automatic,2003
SUV,Imported,jEY4wdZmn69RfiXhTWmRaDSaqzuT87p,Uyo,Off white,Foreign Used,4700,Petrol,Lincoln,215204,Navigator,5625000,,Imported,Automatic,2003
Sedan,Imported,jEY4wdZdPlMJy71PbMB4GBmJmDAGnSB,Lugbe District,Gray,Foreign Used,1800,Petrol,Toyota,178118,Corolla,16312500,,Imported,Automatic,2012
,Imported,jEY4wdZgkYlr8XuFMZqCcHy7lJyH7YQ,Ikeja,Gold,Nigerian Used,3500,Petrol,Toyota,207155,Avalon,5625000,Lagos,Registered,Automatic,2006
SUV,Imported,jEY4wdZBtyfAUC5Am6r7XlZkEWuWV6P,Gwarinpa,Black,Nigerian Used,3500,Petrol,Toyota,235972,Highlander,14625000,,Registered,Automatic,2008
